#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=FeTe0.5Se0.5 polycrystalline samples were synthesized by solid-state reaction method.
1-1	0-12	FeTe0.5Se0.5	Material-target	Descriptor-of|Descriptor-of	1-3|1-2	
2-24	197-200	and	_	_	_	
2-25	201-203	Se	Material-recipe	Brand-of|Descriptor-of|Value-of|Value-of	2-7[3_0]|2-26|2-32|2-1[2_0]	
2-26	204-210	grains	Descriptor	_	_	
2-27	211-212	(	_	_	_	
2-28	212-216	same	_	_	_	
2-29	217-219	as	_	_	_	
2-30	220-225	above	_	_	_	
2-31	225-226	,	_	_	_	
2-32	227-232	99.9%	Value	_	_	
2-33	232-233	)	_	_	_	
2-34	234-238	were	_	_	_	
2-35	239-246	weighed	Operation	Participant-material|Participant-material|Participant-material|Next-operation	2-4|2-14|2-25|2-37	
2-36	246-247	,	_	_	_	
2-37	248-253	mixed	Operation	Next-operation	2-39	
2-38	254-257	and	_	_	_	
2-39	258-264	ground	Operation	Device-of-operation	2-43[4_0]	
2-40	265-269	with	_	_	_	
2-41	270-272	an	Value	_	_	
2-42	273-278	agate	Descriptor	_	_	
2-43	279-285	mortar	Device[4]	Descriptor-of|Value-of	2-42[0_4]|2-41[0_4]	
2-44	286-289	and	Device[4]	_	_	
2-45	290-296	pestle	Device[4]	_	_	
2-46	296-297	.	_	_	_	

#Text=The mixing and grinding processes were carried out in nitrogen-filled glove box.
3-1	298-301	The	_	_	_	
3-2	302-308	mixing	Operation	Device-of-operation	3-11[6_0]	
3-3	309-312	and	_	_	_	
3-4	313-321	grinding	Operation	Device-of-operation|Coreference	3-11[6_0]|3-7[5_0]	
3-5	322-331	processes	_	_	_	
3-6	332-336	were	_	_	_	
3-7	337-344	carried	Operation[5]	_	_	
3-8	345-348	out	Operation[5]	_	_	
3-9	349-351	in	_	_	_	
3-10	352-367	nitrogen-filled	Descriptor	_	_	
3-11	368-373	glove	Device[6]	Descriptor-of	3-10[0_6]	
3-12	374-377	box	Device[6]	_	_	
3-13	377-378	.	_	_	_	

#Text=The ground powder was cold-pressed into pellets with 600 kg/cm2 uniaxial pressure.
4-1	379-382	The	_	_	_	
4-2	383-389	ground	Descriptor	_	_	
4-3	390-396	powder	Material-intermedium	Descriptor-of	4-2	
4-4	397-400	was	_	_	_	
4-5	401-413	cold-pressed	Operation	Participant-material|Condition-of	4-3|4-9[7_0]	
4-6	414-418	into	_	_	_	
4-7	419-426	pellets	Material-intermedium	_	_	
4-8	427-431	with	_	_	_	
4-9	432-435	600	Property-pressure[7]	Descriptor-of	4-13[0_7]	
4-10	436-438	kg	Property-pressure[7]	_	_	
4-11	438-439	/	Property-pressure[7]	_	_	
4-12	439-442	cm2	Property-pressure[7]	_	_	
4-13	443-451	uniaxial	Descriptor	_	_	
4-14	452-460	pressure	_	_	_	
4-15	460-461	.	_	_	_	

#Text=The pellets were sealed in an evacuated quartz tube, and slowly ramped to 550°C in 5 hours from room temperature, and kept for 24 hours.
5-1	462-465	The	_	_	_	
5-2	466-473	pellets	Material-intermedium	_	_	
5-3	474-478	were	_	_	_	
5-4	479-485	sealed	Operation	Participant-material|Device-of-operation|Next-operation	5-2|5-9|5-13	
5-5	486-488	in	_	_	_	
5-6	489-491	an	_	_	_	
5-7	492-501	evacuated	Descriptor	_	_	
5-8	502-508	quartz	Descriptor	_	_	
5-9	509-513	tube	Device	Descriptor-of|Descriptor-of	5-7|5-8	
5-10	513-514	,	_	_	_	
5-11	515-518	and	_	_	_	
5-12	519-525	slowly	Descriptor	_	_	
5-13	526-532	ramped	Operation	Condition-of|Condition-of|Condition-of|Descriptor-of|Next-operation	5-15[8_0]|5-19[9_0]|5-22[10_0]|5-12|5-26	
5-14	533-535	to	_	_	_	
5-15	536-539	550	Property-temperature[8]	_	_	
5-16	539-540	°	Property-temperature[8]	_	_	
5-17	540-541	C	Property-temperature[8]	_	_	
5-18	542-544	in	_	_	_	
5-19	545-546	5	Property-time[9]	_	_	
5-20	547-552	hours	Property-time[9]	_	_	
5-21	553-557	from	_	_	_	
5-22	558-562	room	Property-temperature[10]	_	_	
5-23	563-574	temperature	Property-temperature[10]	_	_	
5-24	574-575	,	_	_	_	
5-25	576-579	and	_	_	_	
5-26	580-584	kept	Operation	Condition-of	5-28[11_0]	
5-27	585-588	for	_	_	_	
5-28	589-591	24	Property-temperature[11]	_	_	
5-29	592-597	hours	Property-temperature[11]	_	_	
5-30	597-598	.	_	_	_	

#Text=After cooling to room temperature naturally, the reacted pellets were reground, pressed (1800 kg/cm2 uniaxial pressure), sealed in a quartz tube, sintered again at 550°C for 24 h, and finally annealed at 400°C for 24 h, followed by quenching.
6-1	599-604	After	_	_	_	
6-2	605-612	cooling	Operation	Condition-of|Descriptor-of|Next-operation	6-4[12_0]|6-6|6-12	
6-3	613-615	to	_	_	_	
6-4	616-620	room	Property-temperature[12]	_	_	
6-5	621-632	temperature	Property-temperature[12]	_	_	
6-6	633-642	naturally	Descriptor	_	_	
6-7	642-643	,	_	_	_	
6-8	644-647	the	_	_	_	
6-9	648-655	reacted	_	_	_	
6-10	656-663	pellets	Material-intermedium	_	_	
6-11	664-668	were	_	_	_	
6-12	669-677	reground	Operation	Participant-material|Next-operation	6-10|6-14	
6-13	677-678	,	_	_	_	
6-14	679-686	pressed	Operation	Condition-of|Next-operation	6-16[13_0]|6-24	
6-15	687-688	(	_	_	_	
6-16	688-692	1800	Property-pressure[13]	Descriptor-of	6-20[0_13]	
6-17	693-695	kg	Property-pressure[13]	_	_	
6-18	695-696	/	Property-pressure[13]	_	_	
6-19	696-699	cm2	Property-pressure[13]	_	_	
6-20	700-708	uniaxial	Descriptor	_	_	
6-21	709-717	pressure	_	_	_	
6-22	717-718	)	_	_	_	
6-23	718-719	,	_	_	_	
6-24	720-726	sealed	Operation	Device-of-operation|Next-operation	6-28|6-30	
6-25	727-729	in	_	_	_	
6-26	730-731	a	Value	_	_	
6-27	732-738	quartz	Descriptor	_	_	
6-28	739-743	tube	Device	Descriptor-of|Value-of	6-27|6-26	
6-29	743-744	,	_	_	_	
6-30	745-753	sintered	Operation	Condition-of|Condition-of|Next-operation	6-33[14_0]|6-37[15_0]|6-42	
6-31	754-759	again	_	_	_	
6-32	760-762	at	_	_	_	
6-33	763-766	550	Property-temperature[14]	_	_	
6-34	766-767	°	Property-temperature[14]	_	_	
6-35	767-768	C	Property-temperature[14]	_	_	
6-36	769-772	for	_	_	_	
6-37	773-775	24	Property-time[15]	_	_	
6-38	776-777	h	Property-time[15]	_	_	
6-39	777-778	,	_	_	_	
6-40	779-782	and	_	_	_	
6-41	783-790	finally	_	_	_	
6-42	791-799	annealed	Operation	Condition-of|Condition-of|Next-operation	6-44[16_0]|6-48[17_0]|6-53	
6-43	800-802	at	_	_	_	
6-44	803-806	400	Property-temperature[16]	_	_	
6-45	806-807	°	Property-temperature[16]	_	_	
6-46	807-808	C	Property-temperature[16]	_	_	
6-47	809-812	for	_	_	_	
6-48	813-815	24	Property-time[17]	_	_	
6-49	816-817	h	Property-time[17]	_	_	
6-50	817-818	,	_	_	_	
6-51	819-827	followed	_	_	_	
6-52	828-830	by	_	_	_	
6-53	831-840	quenching	Operation	_	_	
6-54	840-841	.	_	_	_	

#Text=When the sintering temperature is lower than 500°C and higher than 400°C, although 11 phase can be formed, there are more impurities, and the superconducting volume fraction is very small.
7-1	842-846	When	_	_	_	
7-2	847-850	the	_	_	_	
7-3	851-860	sintering	_	_	_	
7-4	861-872	temperature	_	_	_	
7-5	873-875	is	_	_	_	
7-6	876-881	lower	_	_	_	
7-7	882-886	than	_	_	_	
7-8	887-890	500	_	_	_	
7-9	890-891	°	_	_	_	
7-10	891-892	C	_	_	_	
7-11	893-896	and	_	_	_	
7-12	897-903	higher	_	_	_	
7-13	904-908	than	_	_	_	
7-14	909-912	400	_	_	_	
7-15	912-913	°	_	_	_	
7-16	913-914	C	_	_	_	
7-17	914-915	,	_	_	_	
7-18	916-924	although	_	_	_	
7-19	925-927	11	_	_	_	
7-20	928-933	phase	_	_	_	
7-21	934-937	can	_	_	_	
7-22	938-940	be	_	_	_	
7-23	941-947	formed	_	_	_	
7-24	947-948	,	_	_	_	
7-25	949-954	there	_	_	_	
7-26	955-958	are	_	_	_	
7-27	959-963	more	_	_	_	
7-28	964-974	impurities	_	_	_	
7-29	974-975	,	_	_	_	
7-30	976-979	and	_	_	_	
7-31	980-983	the	_	_	_	
7-32	984-999	superconducting	_	_	_	
7-33	1000-1006	volume	_	_	_	
7-34	1007-1015	fraction	_	_	_	
7-35	1016-1018	is	_	_	_	
7-36	1019-1023	very	_	_	_	
7-37	1024-1029	small	_	_	_	
7-38	1029-1030	.	_	_	_	
