#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Ca3Co4-xNixO9 polycrystalline ceramic materials, with x=0.00, 0.01, 0.03, and 0.05, were prepared using commercial CaCO3 (Panreac, 98+%), Co2O3 (Aldrich, 98+%), and NiO (Aldrich, 99%) powders as starting materials by the classical solid state route.
1-1	0-6	Ca3Co4	Material-target[1]	Descriptor-of|Descriptor-of|Descriptor-of	1-4[0_1]|1-5[0_1]|1-9[2_1]	
4-1	485-488	The	_	_	_	
4-2	489-492	dry	Descriptor	_	_	
4-3	493-500	mixture	Material-intermedium	Descriptor-of	4-2	
4-4	501-504	was	_	_	_	
4-5	505-517	subsequently	_	_	_	
4-6	518-526	manually	Descriptor	_	_	
4-7	527-533	milled	Operation	Participant-material|Next-operation|Descriptor-of	4-3|4-9[14_0]|4-6	
4-8	534-537	and	_	_	_	
4-9	538-547	thermally	Operation[14]	Condition-of|Condition-of|Condition-of|Condition-of|Next-operation	4-12[15_14]|4-15[0_14]|4-17[16_14]|4-22[0_14]|4-28[0_14]	
4-10	548-555	treated	Operation[14]	_	_	
4-11	556-559	for	_	_	_	
4-12	560-562	12	Property-time[15]	_	_	
4-13	563-564	h	Property-time[15]	_	_	
4-14	565-567	at	_	_	_	
4-15	568-571	750	Property-temperature	_	_	
4-16	572-575	and	_	_	_	
4-17	576-579	800	Property-temperature[16]	_	_	
4-18	580-581	°	Property-temperature[16]	_	_	
4-19	581-582	C	Property-temperature[16]	_	_	
4-20	582-583	,	_	_	_	
4-21	584-589	under	_	_	_	
4-22	590-593	air	Property-pressure	_	_	
4-23	593-594	,	_	_	_	
4-24	595-599	with	_	_	_	
4-25	600-602	an	Value	_	_	
4-26	603-615	intermediate	Descriptor	_	_	
4-27	616-622	manual	Descriptor	_	_	
4-28	623-631	grinding	Operation	Value-of|Descriptor-of|Descriptor-of	4-25|4-26|4-27	
4-29	631-632	.	_	_	_	

#Text=This thermal treatment has been found in previous works to be adequate to decompose the CaCO3.25 After the thermal treatment, the powders were uniaxially pressed at 400 MPa for 1 minute in form of parallelepipeds (approximately 3 mmx3 mmx14 mm) and sintered at 900 °C in air for 24 h with a final furnace cooling.
5-1	633-637	This	_	_	_	
5-2	638-645	thermal	_	_	_	
5-3	646-655	treatment	_	_	_	
5-4	656-659	has	_	_	_	
5-5	660-664	been	_	_	_	
5-6	665-670	found	_	_	_	
5-7	671-673	in	_	_	_	
5-8	674-682	previous	_	_	_	
5-9	683-688	works	_	_	_	
5-10	689-691	to	_	_	_	
5-11	692-694	be	_	_	_	
5-12	695-703	adequate	_	_	_	
5-13	704-706	to	_	_	_	
5-14	707-716	decompose	_	_	_	
5-15	717-720	the	_	_	_	
5-16	721-729	CaCO3.25	_	_	_	
5-17	730-735	After	_	_	_	
5-18	736-739	the	_	_	_	
5-19	740-747	thermal	Operation[17]	Next-operation	5-26[0_17]	
5-20	748-757	treatment	Operation[17]	_	_	
5-21	757-758	,	_	_	_	
5-22	759-762	the	_	_	_	
5-23	763-770	powders	Material-intermedium	_	_	
5-24	771-775	were	_	_	_	
5-25	776-786	uniaxially	Descriptor	_	_	
5-26	787-794	pressed	Operation	Participant-material|Descriptor-of|Condition-of|Condition-of|Next-operation	5-23|5-25|5-28[18_0]|5-31[19_0]|5-45	
5-27	795-797	at	_	_	_	
5-28	798-801	400	Property-pressure[18]	_	_	
5-29	802-805	MPa	Property-pressure[18]	_	_	
5-30	806-809	for	_	_	_	
5-31	810-811	1	Property-time[19]	_	_	
5-32	812-818	minute	Property-time[19]	_	_	
5-33	819-821	in	_	_	_	
5-34	822-826	form	_	_	_	
5-35	827-829	of	_	_	_	
5-36	830-845	parallelepipeds	Material-intermedium	Value-of	5-38[20_0]	
5-37	846-847	(	_	_	_	
5-38	847-860	approximately	Value[20]	_	_	
5-39	861-862	3	Value[20]	_	_	
5-40	863-867	mmx3	Value[20]	_	_	
5-41	868-873	mmx14	Value[20]	_	_	
5-42	874-876	mm	Value[20]	_	_	
5-43	876-877	)	_	_	_	
5-44	878-881	and	_	_	_	
5-45	882-890	sintered	Operation	Participant-material|Condition-of|Condition-of|Condition-of|Next-operation	5-36|5-47[21_0]|5-51|5-53[22_0]|5-58[23_0]	
5-46	891-893	at	_	_	_	
5-47	894-897	900	Property-temperature[21]	_	_	
5-48	898-899	°	Property-temperature[21]	_	_	
5-49	899-900	C	Property-temperature[21]	_	_	
5-50	901-903	in	_	_	_	
5-51	904-907	air	Property-pressure	_	_	
5-52	908-911	for	_	_	_	
5-53	912-914	24	Property-time[22]	_	_	
5-54	915-916	h	Property-time[22]	_	_	
5-55	917-921	with	_	_	_	
5-56	922-923	a	Value	_	_	
5-57	924-929	final	Descriptor	_	_	
5-58	930-937	furnace	Operation[23]	Value-of|Descriptor-of	5-56[0_23]|5-57[0_23]	
5-59	938-945	cooling	Operation[23]	_	_	
5-60	945-946	.	_	_	_	
